breed,color,bite_location
poodle,black/gray,body
aaust. terr.,brn-wht,head
new foundland,black,body
pit bull,brn-wht,body
beagle,NA,body
doberman,blk-tan,body
chichauhua,white,body
pit bull,white,body
pit bull,brown,body
cocker spainel,brown,body
am bulldog,tan,head
rottweiler,blk-tan,body
bullmastiff,brindle,body
germ shepherd,blk/brn,body
lhasa apso,gray,body
pit bull,wht-brn,body
pit bull,brn-wht,body
pit bull,brown,body
shih tzu,blk-wht,head
shih tzu,brn-wht,head
boxer,wht-brn,head
labrador retriv,black,NA
boxer,NA,body
germ shepherd,black,body
bernesen mt.,black,body
min pin,blk-tan,body
pit bull,blk-wht,body
pit bull,NA,body
germ shepherd,blk-brn,body
beagle,tri,body
pit bull,brn-beige,body
boxer,brown,head
pit bull,NA,body
havanese,blk-wht,body
great dane,blk-wht,body
doberman,black,body
boxer,brown,body
labrador retriv,blk-wht,body
labrador retriv,yellow,body
pit bull,tan & whit,head
rottweiler,black,body
akita,wht-brown,head
english setter,wht-liver,body
pomeranian,brown,body
pit bull,tan-wht,body
pit bull,brn-brindl,body
pit bull,tri,head
beagle,brn-wht,body
beagle,tri,body
beagle,tri,body
doberman,blk-tan,body
labrador retriv,black,body
germ shepherd,brn-blk,body
pit bull,red-white,head
dachshund,red,body
shih tzu,blk-gray,body
am bulldog,tan-wht,body
dachshund,blk-tan,body
shih tzu,tri,head
pit bull,blk-wht,head
schnauzer,blk-wht,body
other,black,body
labrador retriv,NA,body
germ shepherd,blk-tan,body
pit bull,brn-blk,body
pit bull,wht-black,body
chichauhua,NA,body
germ shepherd,blk-silver,body
pit bull,NA,head
shih tzu,cream,head
germ shepherd,blk-brn,head
bullmastiff,fawn,head
akita,wht-blk,body
other,tri,body
pit bull,blk-wht,body
pit bull,brown-tan,body
shar-pei,blonde,body
dachshund,black,head
pit bull,black/whit,head
cockapoo,white,head
pit bull,brn-wht,head
germ shepherd,tri,body
pit bull,tan,body
pit bull,NA,body
pit bull,brn-wht,body
pomeranian,tan-brn,body
old eng shp dog,wht-brindl,body
pit bull,blk-wht,head
pomeranian,brown,body
dachshund,red,body
min pin,NA,body
boxer,NA,body
great pyreneese,white,body
min pin,blk-brn,body
boxer,brn-wht,body
pit bull,wht-blk,head
bullmastiff,brown,body
akita,tri,body
pit bull,brown,body
rottweiler,blk,head
doberman,NA,body
maltase,white,body
germ shepherd,brn-blk,body
pit bull,blk-wht,body
pit bull,blk-wht,body
germ shepherd,blk,head
chichauhua,wht-blk,body
boxer,tri,body
aaust. terr.,brn-wht,body
pit bull,white,body
chichauhua,blk-wht,body
min pin,blk-tan,body
pit bull,NA,body
beagle,blk-wht,body
am bulldog,wht-brn,body
pit bull,wht-blk,body
beagle,brown,body
pit bull,tri,body
akita,blk-wht,body
dachshund,reddish br,body
rottweiler,black,head
pit bull,red-wht,body
shih tzu,grey-wht,body
chichauhua,brn-wht,body
germ shepherd,brownish t,body
cocker spainel,blk,body
pit bull,blue,body
shih tzu,fawn,body
shih tzu,fawn,body
boxer,brindle,body
germ shepherd,tan/brown,body
germ shepherd,black/brow,body
pit bull,tan,body
shih tzu,blk-wht,head
maltase,white,body
