breed,color,bite_location
pit bull,brwn  wht,body
pit bull,white,body
pit bull,NA,head
pit bull,blue white,unknown
yorkshire terrier,brn blk,body
chichauhua,tan,body
germ shepherd,blk tan,body
germ shepherd,blk yellow,body
chichauhua,blk wht,body
chichauhua,black,head
amer. bull dog,NA,head
great dane,gry blk,head
dotson,NA,unknown
beagle,tri,unknown
rat terrier,gray,body
dotson,brown,body
min pin,black,body
bull dog,NA,body
pit bull,NA,body
labrador retriv,blk whit,body
pit bull,gry white,body
pomeranian,cream,head
labrador retriv,brown,head
pit bull,NA,head
pit bull,NA,unknown
am bulldog,NA,body
chichauhua,tan,unknown
labrador retriv,black,body
chow chow,NA,head
pit bull,NA,head
gold retriever,NA,body
english bulldog,wht blk,body
labrador retriv,black,body
pit bull,white,head
pit bull,brn wht,body
schnauzer,gry and cr,body
husky,NA,body
pit bull,brindle,head
schnauzer,gry wht,unknown
pekingese,gold whit,body
basset hound,red,unknown
pit bull,gry brown,body
min pin,blk tan,head
pit bull,brn wht,body
pit bull,blue white,body
pit bull,brindle,body
pit bull,NA,body
labrador retriv,tan,unknown
schnauzer,blk wht,head
pug,NA,head
rottweiler,brn blk,body
rottweiler,blk brn,body
pit bull,brn wht,body
pit bull,brn white,body
pit bull,blk wht,body
westie,white,body
pit bull,NA,body
bull dog,white,body
boston terrier,NA,head
labrador retriv,black,head
english bulldog,brindle wh,body
border collie,blk white,head
bullmastiff,brn wht,body
shih tzu,black,head
pit bull,brn wht,body
boxer,brindle wh,body
pit bull,wht black,body
rat terrier,blk wht,head
germ shepherd,white,body
pit bull,gray,body
pit bull,gry brn,body
greyhound,tan,body
cocker spainel,NA,body
gold retriever,NA,body
pit bull,NA,NA
dachshund,black,body
labrador retriv,blck,head
pit bull,brindle,body
pit bull,brn blk,body
fox terrier,white,body
bull dog,NA,unknown
germ shepherd,white,body
pit bull,NA,body
great dane,tan,head
shih tzu,whit grey,body
pit bull,brn wht,body
pit bull,blk wht,body
pit bull,brn wht,body
dotson,blk brn,body
husky,blk wht,head
pit bull,NA,unknown
gold retriever,orange,body
labrador retriv,blk,body
pit bull,NA,body
pit bull,NA,body
germ shepherd,blk brown,body
schnauzer,NA,body
germ shepherd,NA,body
aaust. terr.,brn white,body
rottweiler,blk tan,body
boxer,brn whtie,body
siberan husky,blk wht,body
basset hound,brn wht bl,head
rottweiler,NA,body
basset hound,tricolor,head
dachshund,red,body
shih tzu,tan wht,head
am bulldog,grey white,body
pit bull,blk wht,body
maltase,wht blck,head
cocker spainel,brown,body
boxer,brn wht,body
sheep dog,wht blk,body
chichauhua,brown,body
english shepard,gry wht,head
great dane,light brow,body
pit bull,NA,body
akita,NA,body
labrador retriv,blk,body
pit bull,wht brn,body
pit bull,brn wht,body
boxer,brn wht,body
pit bull,tan white,body
pit bull,buff,body
germ shepherd,blk tan,body
pit bull,brown,head
rottweiler,NA,body
poodle,blk,NA
pit bull,NA,unknown
pit bull,wht brn,body
pit bull,brindle,body
pit bull,brn white,body
pit bull,brn white,body
shih tzu,blk whit,body
pit bull,isabell,body
labrador retriv,blonde,NA
am. eskimo,NA,NA
rat terrier,brown wht,NA
pit bull,wht/brown,NA
other,blk wht,body
husky,blk white,NA
shih tzu,NA,body
pit bull,brn- wht,NA
pit bull,blk,head
germ shepherd,blk,NA
pit bull,wht-brwn,body
pit bull,wht w/ spo,NA
germ shepherd,black/tan,body
pit bull,white/gray,body
labrador retriv,tricolor,body
pit bull,white/tan,body
shih tzu,brindle,NA
pit bull,white,NA
bull dog,NA,NA
pit bull,brown,body
akita,wht blk,body
pit bull,brindle,body
pomeranian,black,body
husky,NA,body
english bulldog,fawn,body
pit bull,reddish,body
alask. malamute,gry white,body
pit bull,blue white,body
boxer,brindle wh,body
westie,white,body
labrador retriv,black,head
schnauzer,NA,body
pit bull,brn wht,body
poodle,brown,body
rottweiler,black,body
labrador retriv,NA,body
schnauzer,blk wht,body
pit bull,blk brn,body
schnauzer,grey white,body
rottweiler,blk tan,body
germ shepherd,blk tan,body
rottweiler,black,body
boxer,NA,head
min pin,black tan,body
pit bull,blue,body
pit bull,brindle,body
shih tzu,white tan,body
husky,brown,body
boston terrier,NA,body
yorkshire terrier,brn blk,body
min pin,NA,body
lhasa apso,golden,body
schnauzer,wheat,body
germ shepherd,black,body
beagle,tan,body
dachshund,red,body
boxer,brindle,body
shih tzu,blonde,body
pit bull,NA,body
dachshund,red,unknown
chichauhua,brown,body
pit bull,brindle,body
boxer,tan white,NA
boxer,brindle,body
labrador retriv,black,body
pit bull,NA,body
eng. mastiff,tan,head
pit bull,white,body
boxer,black,body
mastif,brn blk,body
pug,brown,head
chichauhua,blk brn,body
chichauhua,tan white,body
chichauhua,wht brn,body
great dane,blue,body
westie,white,unknown
labrador retriv,chocolate,head
aaust. terr.,NA,body
pit bull,red brn,body
great pyreneese,white,body
germ shepherd,blk brwn,body
labrador retriv,black,body
labrador retriv,tan,body
shar-pei,brown,head
westie,white,body
pit bull,brindle bl,body
boxer,red white,body
shih tzu,white,body
pit bull,blk wht,body
labrador retriv,blk wht,head
pit bull,wht brindl,unknown
schnauzer,silver,body
pit bull,blk wht,body
pit bull,NA,body
black lab,black,body
pit bull,NA,NA
pit bull,grey,body
shih tzu,black,body
labrador retriv,black,NA
pit bull,fawn whte,body
pit bull,NA,NA
scottish ter.,black,body
schnauzer,blk silver,unknown
aaust. terr.,tri color,head
pit bull,fawn white,body
black lab,black,unknown
bull dog,black,body
germ shepherd,NA,body
shar-pei,tan,body
pit bull,brown,body
black lab,black,head
beagle,tri,body
aaust. terr.,blk gray,body
cocker spainel,brn wht,body
pit bull,brown,body
germ shepherd,blk brn,body
lakeland ter.,blonde,head
beagle,blk wht,body
boxer,brindle,body
bull dog,brn whit,body
pit bull,blk wht,body
germ shepherd,blonde,body
chow chow,red,body
chow chow,black,body
pit bull,white,body
labrador retriv,black,body
westie,white,head
pit bull,gray/blue,head
boxer,brindle,body
pit bull,blk brown,unknown
beagle,blk wht,body
english setter,wht orange,body
poodle,blk wht,body
shih tzu,red white,body
pit bull,brn white,body
pit bull,brn white,body
pit bull,NA,body
pit bull,gray white,body
chichauhua,tri color,body
pug,NA,unknown
husky,tan,body
pit bull,black,body
maltase,white,body
pit bull,NA,NA
yorkshire terrier,brn blk,head
germ shepherd,brn blk,body
border collie,blk white,unknown
pit bull,black,body
beagle,tri,body
pomeranian,tan wht,body
labrador retriv,black,head
coon hound,NA,head
husky,NA,head
boxer,fawn,NA
english bulldog,tan & whit,head
aaust. terr.,black whit,head
doberman,blk tan,head
labrador retriv,black,body
poodle,black,body
chichauhua,NA,head
pit bull,brindle wh,head
pit bull,blue wht,head
pit bull,NA,body
akita,tan,NA
germ shepherd,NA,body
pomeranian,brown,body
pit bull,brindle,body
labrador retriv,black,body
akita,fawn & wht,body
chichauhua,brown,body
chichauhua,wht tan,body
border collie,black wht,head
pit bull,NA,body
labrador retriv,white,body
bullmastiff,brown,head
boxer,brendal,body
pit bull,brindle wh,body
border collie m,blk wht,head
rottweiler,blk brn,head
dachshund,red,head
pit bull,NA,body
germ shepherd,NA,body
germ shepherd,black,body
poodle,white,body
poodle,tan,body
blood hound,NA,body
pit bull,brn,body
pug,fawn,body
shar-pei,NA,body
boston terrier,blk wht,head
husky,blonde tan,head
shih tzu,blk wht,body
pit bull,white,body
pit bull,tan,body
rottweiler,blk tan,head
pit bull,brown wht,body
germ shepherd,yellow blk,body
pit bull,wht brown,body
britney spaniel,orange wht,body
yorkshire terrier,brown,body
pit bull,NA,head
boxer,brindle wh,head
pit bull,white/gray,body
dachshund,brn blck,body
beagle,NA,body
dotson,black/brow,body
great dane,NA,body
chocolate lab.,brown,body
pomeranian,black,body
great dane,blck wht,NA
chow chow,NA,body
beagle,tricolor,body
germ shepherd,white,body
great pyreneese,white,body
boxer,brown,head
poodle,white,body
rottweiler,NA,body
germ shepherd,NA,body
pit bull,NA,body
husky,white grey,head
pit bull,white,body
schnauzer,gray blck,body
chichauhua,blk wht,head
germ shepherd,tan,body
coon hound,red,head
dachshund,NA,body
pit bull,NA,body
labrador retriv,black,head
poodle,black,head
pit bull,blue,body
pit bull,NA,body
pit bull,multi,body
bullmastiff,brindle,body
akita,blk white,body
mastif,brindle,body
coon hound,blck tan,body
cockapoo,black,head
pit bull,brn whte,head
schnauzer,blk whte,head
rottweiler,black,head
samoyed,white,body
pit bull,brn,head
pit bull,wht blck,body
pit bull,wht blk,body
yorkshire terrier,gray tan,head
pit bull,brindle,body
dachshund,red,body
pit bull,blue,body
box terrier,brindle,body
pit bull,brindle,body
chichauhua,NA,body
labrador retriv,NA,head
dachshund,blk tan,body
gold retriever,blonde,head
rottweiler,black,head
pit bull,black,body
boxer,wht blck,body
pit bull,wht brown,body
germ shepherd,NA,body
poodle,black,body
poodle,white,unknown
cattle dog,rust whit,head
pit bull,brn wht,body
schnauzer,blk wht,head
chichauhua,NA,body
germ shepherd,white,body
chichauhua,NA,body
pit bull,NA,body
akita,brn blk,body
english bulldog,white,body
pit bull,blue,body
pit bull,tan white,body
pit bull,white,body
pit bull,brown,head
dachshund,brown,head
germ shepherd,brn blck,body
yorkshire terrier,NA,body
am bulldog,white,NA
pit bull,brn blk,body
basset hound,multicolor,head
schnauzer,gray blck,body
doberman,blk red,body
pit bull,brn wht,body
labrador retriv,black,body
cane corso,blue,body
labrador retriv,black,body
chichauhua,NA,body
maltase,white,body
rottweiler,brn wht,body
pit bull,red wht,body
dachshund,blk gray,body
aaust. terr.,blk brn,head
shih tzu,wht blk,body
shih tzu,NA,head
labrador retriv,tan,head
border collie,NA,unknown
shih tzu,white,body
border collie,NA,head
border collie,blk wht,body
english bulldog,brn tan,body
weimaraner,gray,body
labrador retriv,black,body
germ shepherd,blk tan,body
germ shepherd,NA,body
chichauhua,black,body
aaust. terr.,grey blck,body
boston terrier,NA,body
akita,NA,body
min pin,black,body
pit bull,tri,body
maltase,white,body
germ shepherd,tan black,body
pit bull,NA,body
pit bull,blue white,body
cane corso,brn gray,body
chichauhua,wht brn,body
beagle,red,body
chichauhua,brn blk,body
chichauhua,white blck,body
am bulldog,NA,body
boxer,dark brown,body
dachshund,NA,body
border collie m,NA,NA
pit bull,blue,body
pit bull,grey,head
shih tzu,gry wht,body
shar-pei,tan,body
amer. bull dog,tan white,body
chichauhua,red,body
shih tzu,white,head
pit bull,black,body
shih tzu,brn wht,body
boxer,white,body
saint bernard,brn wht,body
pit bull,red,body
labrador retriv,tan/white,body
labrador retriv,black,body
labrador retriv,tan,body
weimaraner,tan/white,body
basanji,beige,body
blue heeler,black,head
doberman,black/tan,body
chichauhua,brn/white,body
poodle,white,body
pit bull,red/white,body
cocker spainel,brown,body
pit bull,NA,body
pit bull,wht tan,body
pit bull,NA,unknown
pit bull,black,body
pit bull,gry white,body
siberan husky,NA,head
bull dog,NA,body
english shepard,blk white,body
doberman,blk brn,head
border collie m,white/blac,body
pit bull,blk wht,body
beagle,brown,body
pit bull,red,body
pit bull,blk wht,NA
sheltie,sable,head
min pin,blk brn,body
pit bull,NA,unknown
pit bull,brindle,body
pit bull,NA,body
spitz,NA,head
pit bull,NA,body
poodle,white,body
pit bull,black,head
germ shepherd,brown,body
pit bull,brn wht,body
beagle,tri,head
pit bull,tan,body
chichauhua,NA,body
westie,NA,body
labrador retriv,brown,unknown
germ shepherd,NA,unknown
poodle,NA,unknown
pit bull,gray,body
pit bull,NA,body
great pyreneese,white,body
am bulldog,NA,unknown
germ shepherd,blk tan,body
pit bull,tan wht,body
pit bull,gray wht,body
pit bull,blck whte,body
alask. malamute,grey,body
shih tzu,blk white,body
pit bull,NA,body
chichauhua,tan,body
saint bernard,tan,head
pit bull,brown,body
rottweiler,blk brn,body
pit bull,gray wht,body
pit bull,NA,body
gold retriever,NA,body
am bulldog,wht/brindl,head
germ shepherd,NA,body
rottweiler,blk brn,body
bull dog,red,body
pit bull,blue wht,head
labrador retriv,black,body
border collie,black/whit,head
pit bull,white,body
pit bull,blue,body
lhasa apso,honey,body
pit bull,brn wht,body
cane corso,gray,body
labrador retriv,brn,NA
germ shepherd,blk brn,body
labrador retriv,black,body
pit bull,white,body
shih tzu,NA,head
dachshund,brown,body
germ shepherd,blk brn,body
poodle,white,body
blood hound,blk tan,body
maltase,white,body
great dane,NA,head
chichauhua,blk brn,head
chichauhua,black,body
boxer,NA,body
rottweiler,black,body
boston terrier,black whte,body
pit bull,wht brn,body
rottweiler,blk tan,body
pit bull,gray white,body
pit bull,black,body
boxer,tan,body
fox terrier,"wht, br,bl",body
beagle,tri,NA
yorkshire terrier,blond,body
pit bull,blk,body
corgi,red,NA
germ shepherd,black,body
pit bull,blue wht,body
britney spaniel,red white,head
westie,white,body
pug,NA,body
pit bull,blue,body
labrador retriv,blk whte,head
siberan husky,NA,body
siberan husky,bl/whit/gr,body
rottweiler,NA,body
great dane,gry blk,body
pug,fawn tan,body
pit bull,tan white,body
pit bull,brown,head
pit bull,blue brn,body
pit bull,wht gray,body
beagle,brn wht,body
boxer,fawn,unknown
germ shepherd,grey,body
chichauhua,NA,body
pug,NA,body
pit bull,tan whit,head
pit bull,blue,NA
pit bull,NA,head
beagle,NA,unknown
labrador retriv,NA,NA
germ shepherd,brn blk,body
labrador retriv,blk,body
border collie,NA,NA
germ shepherd,tn blk,body
pit bull,tan white,body
germ shepherd,blk brn,body
pit bull,black,body
pit bull,NA,head
pit bull,blk wht,body
doberman,black,head
pit bull,red white,head
english bulldog,brindle,body
labrador retriv,black,body
germ shepherd,tan blk,body
pit bull,brn brindl,body
chichauhua,tri,body
pit bull,golden,unknown
english setter,red,body
chichauhua,tan,body
yorkshire terrier,grey brn,body
cane corso,NA,body
chichauhua,tan,body
toy poodle,gray,body
husky,NA,body
labrador retriv,chocolate,body
pug,black,body
pomeranian,tan,NA
labrador retriv,black/gray,NA
germ shepherd,brown/blac,NA
cocker spainel,tan,body
germ shepherd,black/brow,body
bernesen mt.,NA,body
labrador retriv,black,NA
cattle dog,brown/blac,body
husky,NA,head
chichauhua,brown,body
french bulldog,blk wht,body
pit bull,white,body
maltase,white,unknown
basanji,red white,body
bullmastiff,brindle,head
chichauhua,black,body
germ shepherd,NA,body
pit bull,NA,NA
chichauhua,brn blk,body
pit bull,brindle,body
boxer,brown,head
amer. bull dog,wht brn,unknown
pit bull,blue white,body
pit bull,blck,head
dachshund,grey blk b,body
pit bull,brown,body
pit bull,blue & blk,body
gold retriever,NA,body
pit bull,NA,body
pit bull,brn wht,body
chow chow,blackj,body
pit bull,chocolate,head
westie,NA,unknown
doberman,black,body
dachshund,NA,body
germ shepherd,brn blk,body
germ shepherd,NA,body
maltase,blk wht,body
pit bull,NA,body
chichauhua,blk brn,body
english bulldog,tan,body
sheltie,tri,body
cane corso,blue,body
pit bull,NA,head
basset hound,brn wht,head
catahoula,merle,head
pit bull,brown,body
labrador retriv,NA,body
amer. bull dog,brn white,body
westie,white,body
pit bull,grey,head
chichauhua,NA,body
pit bull,NA,NA
dotson,black,body
labrador retriv,blk white,head
shih tzu,tri,body
english bulldog,NA,body
chow chow,red,head
pit bull,NA,head
dachshund,red,body
germ shepherd,blk tan,body
pit bull,brown,body
boxer,black/whit,body
pit bull,blue,body
pit bull,red wht,body
pit bull,wht brn,body
germ shepherd,brown,body
cane corso,blue,body
other,brn wht,body
germ shepherd,brwn blck,body
saint bernard,tri,unknown
shih tzu,brn wht,body
pit bull,NA,unknown
akita,bk white,body
pomeranian,brn wht,head
english bulldog,NA,body
germ shepherd,wht blck,body
aaust. terr.,black,body
pit bull,brindle,head
mastif,brn blk,body
boston terrier,blk whte,body
chichauhua,brn,body
shih tzu,white,body
yorkshire terrier,blk tan,body
germ shepherd,tan blck,body
boxer,white,NA
pit bull,wht brn,body
border collie,black,body
pit bull,brown,body
pit bull,blk wht,head
pit bull,grey,head
pit bull,gray white,unknown
chichauhua,tan,body
pit bull,white,head
germ shepherd,blk brn,head
boxer,tan white,body
germ shepherd,tan blk,body
pit bull,NA,body
other,wht tan,body
gold retriever,gold,body
dotson,NA,head
pit bull,NA,body
labrador retriv,black,body
am bulldog,white,body
pit bull,NA,NA
labrador retriv,black,head
schnauzer,gray,body
am bulldog,gray white,head
yorkshire terrier,brn blk,body
aaust. terr.,wht blck,body
pit bull,black,body
chow chow,orange,body
cane corso,brindle,body
pit bull,brn white,body
pit bull,brown,body
aaust. terr.,gray,body
pit bull,NA,body
pit bull,wht brindl,body
husky,white gray,body
pit bull,tan,body
aaust. terr.,red,body
germ shepherd,blk brn,body
labrador retriv,blonde,body
pit bull,wht brn,body
labrador retriv,brn white,head
irish setter,red,head
pomeranian,white,head
labrador retriv,black,body
boxer,NA,body
germ shepherd,NA,body
lhasa apso,gray,body
rat terrier,wht blk,body
sheep dog,tri,body
blood hound,black,head
labrador retriv,black,body
boxer,fawn wht,body
yorkshire terrier,blk brn,body
mastif,blue,body
schnauzer,gray,body
labrador retriv,brown,head
gold retriever,red brown,head
boston terrier,blk white,head
dachshund,black,head
pit bull,black,body
germ shepherd,NA,body
boxer,white,body
pit bull,black whit,body
black lab,black,body
greyhound,brindle,head
chichauhua,tan,body
pit bull,brown/whte,head
germ shepherd,tan blk,body
germ shepherd,NA,body
boxer,brindle,body
pit bull,white,body
pit bull,brindle wh,body
pit bull,NA,body
labrador retriv,blonde,body
germ shepherd,blk brn,body
chow chow,blonde,body
dachshund,NA,head
blood hound,red,body
chichauhua,NA,body
english shepard,blk white,body
pit bull,brown,body
pit bull,brindle wh,body
pit bull,buff white,body
bull dog,black wht,body
pit bull,tan,body
cocker spainel,blk tan,body
boxer,brown,body
basset hound,white/brow,head
black lab,black,body
shih tzu,white blk,head
other,brown,head
boston terrier,blk wht,body
border collie,tri,head
schnauzer,brn beige,head
rottweiler,blk brn,body
labrador retriv,brn,body
aaust. terr.,whit silve,body
bull dog,blk wht,body
black lab,black,head
cocker spainel,brn wht,body
dachshund,black,body
pit bull,gry white,NA
pug,beige,body
boxer,brindle,head
great dane,blk wht,head
pit bull,NA,head
pit bull,black / ta,unknown
shih tzu,NA,body
great dane,black,body
germ shepherd,black,body
pit bull,brindle,body
chichauhua,brown tan,body
pit bull,fawn white,body
rottweiler,black/brow,body
siberan husky,brown/whit,head
labrador retriv,black,body
maltase,white,body
gold retriever,NA,body
boxer,brindle,body
pit bull,black whit,body
black lab,black,body
beagle,NA,unknown
pit bull,gry wht,body
pit bull,brindle wh,body
germ shepherd,brown,head
pit bull,black,body
poodle,white,unknown
great dane,black,body
basanji,brindle,unknown
pit bull,brindle,body
gold retriever,golden,body
pit bull,gray white,body
maltase,blonde,body
shih tzu,blak,body
pit bull,brn white,body
pit bull,tan,body
labrador retriv,white brn,head
husky,whit blk,head
dotson,brn blk,body
boxer,white,body
great pyreneese,white,head
blue heeler,blk white,head
boxer,white,body
pit bull,tan white,body
shar-pei,tan wht,body
labrador retriv,brn wht,head
pit bull,blue white,body
schnauzer,brn white,body
pit bull,black,body
pekingese,NA,body
boxer,brindle,NA
black lab,black,body
basanji,blk br,body
pit bull,tan white,body
pit bull,black,NA
cocker spainel,whte tan,body
aaust. terr.,white gray,body
basset hound,tri,body
pit bull,wht blk br,unknown
chow chow,black,head
blue heeler,white,head
poodle,black,body
germ shepherd,tan black,body
box terrier,br white,body
germ shepherd,white,body
labrador retriv,brown,body
pit bull,blue whte,body
pit bull,brown tan,body
shih tzu,white,head
shih tzu,wht blk,head
dachshund,black,body
chichauhua,wht tan,body
pug,fawn,body
yorkshire terrier,tri-color,body
germ shepherd,blk brown,unknown
pit bull,brn white,unknown
labrador retriv,blk wht,head
pug,blk wht,body
chichauhua,white red,body
cane corso,brown,body
alask. malamute,grey white,body
shih tzu,blonde tan,body
rottweiler,NA,body
pit bull,brn tan,body
pit bull,whte brn,body
lakeland ter.,yellow,body
havanese,white,body
labrador retriv,yellow,body
pit bull,brown tan,body
pit bull,white brn,body
aaust. terr.,tri,body
labrador retriv,brown,body
black lab,black,body
collie,NA,unknown
rottweiler,brown,unknown
briard,tan,body
pit bull,blk wht,head
beagle,white brn,body
shar-pei,brn tan,body
aaust. terr.,blk & tri,body
germ shepherd,brindle,body
shih tzu,white,body
french bulldog,cream,body
pit bull,NA,body
aaust. terr.,white brn,unknown
scottish ter.,brindle,body
shih tzu,white,body
pit bull,brn wht,body
boxer,brindle wh,body
beagle,wht brn,body
chow chow,black,body
shih tzu,gray,body
pit bull,brn white,body
pit bull,NA,head
labrador retriv,brn blck,body
eng. mastiff,tan black,head
shih tzu,brown,body
havanese,white,head
labrador retriv,black,head
chichauhua,blond,unknown
new foundland,black,body
pit bull,fawn,unknown
boxer,brindkle,NA
pit bull,tan,body
chow chow,brown,body
maltase,white,body
border collie m,black,body
great dane,NA,body
shih tzu,brown,head
labrador retriv,brown,body
shih tzu,black,NA
pit bull,brown,body
pit bull,tan,unknown
dalmatian,white blk,head
germ shepherd,brn blck,body
mastif,tan blk,body
pit bull,brindle,body
chichauhua,blk white,body
great dane,harequin,head
coon hound,brn white,body
beagle,tri,body
germ shepherd,brown,unknown
chichauhua,NA,body
chow chow,white,body
pit bull,brown blk,body
pit bull,gray,body
pit bull,white,body
dachshund,reddish br,unknown
pit bull,brindle,body
poodle,black,body
pit bull,brindle,body
aaust. terr.,blk white,body
cane corso,brn white,body
border collie,black,body
pit bull,gry white,body
st bernard,white brn,head
pit bull,black,body
blue heeler,blue red,unknown
great dane,blue,unknown
dachshund,cooper,unknown
germ shepherd,orange,body
collie,white tan,body
germ shepherd,brn blk,head
labrador retriv,yellow,body
pit bull,brn wht,body
pit bull,white br,body
pit bull,blk wht,body
beagle,whit brn b,NA
pit bull,blk wht br,unknown
pit bull,black,unknown
pit bull,black,body
pit bull,black,body
mastif,NA,body
boxer,brindle,unknown
pit bull,brn white,body
cane corso,blue,body
pit bull,black,body
chichauhua,tan wht,body
yorkshire terrier,brm gry,body
black lab,black,body
samoyed,white,body
labrador retriv,brown,unknown
germ shepherd,brown,body
blue heeler,blk gry,body
shih tzu,NA,body
boxer,brn white,head
pit bull,blacf,body
boxer,brn white,body
pit bull,brown,body
germ shepherd,black,body
rat terrier,blk wht,body
boxer,brindle,body
cane corso,brindle,head
germ shepherd,blck brown,unknown
french bulldog,white,head
chow chow,brown,head
dachshund,brown,body
mastif,white brn,unknown
dotson,red,body
aaust. terr.,red,body
rottweiler,blck brn,body
aaust. terr.,brown,body
collie,white,body
pit bull,brindle,body
germ shepherd,blue brn,head
pit bull,tan wht,body
beagle,tri,body
pit bull,red white,body
pit bull,brown,body
beagle,NA,body
boxer,brn blck,body
pit bull,red nose,unknown
poodle,black,unknown
bull dog,tan,unknown
siberan husky,white brow,body
pit bull,grey white,body
labrador retriv,blk wht,head
germ shepherd,NA,body
pit bull,gry/wht,unknown
poodle,grey,body
boxer,brn wht,body
germ shepherd,black,body
shih tzu,blk wht,body
germ shepherd,blk tan,body
labrador retriv,black,body
aaust. terr.,wht blk,body
boxer,brn wht,head
chichauhua,black,body
sheep dog,NA,body
germ shepherd,NA,head
collie,brn blk wh,head
coon hound,black,unknown
labrador retriv,black,NA
husky,white,body
pit bull,brown,body
english bulldog,wht/brindl,body
pit bull,blck wht,body
beagle,black,body
pit bull,black,unknown
germ shepherd,NA,body
schnauzer,brown,body
pit bull,gray white,unknown
aaust. terr.,brindle,body
labrador retriv,chocolate,body
pit bull,white,body
shih tzu,blk white,body
yorkshire terrier,gry silver,body
pit bull,black,body
boxer,brown,body
sheltie,tri,unknown
germ shepherd,white,body
beagle,blk/brown,body
germ shepherd,brown,NA
labrador retriv,yellow,body
germ shepherd,brn blk,unknown
gold retriever,NA,body
labrador retriv,yellow,unknown
greyhound,brindle,unknown
germ shepherd,brown,body
beagle,blk brn,body
boxer,red,head
rottweiler,blk brn,unknown
pit bull,brn blk,body
pit bull,black,head
aaust. terr.,red,body
basset hound,cream whit,body
pit bull,tan white,body
pit bull,brwn wht,body
germ shepherd,blk brn,body
boxer,blk wht,body
basset hound,tan,body
chow chow,brown,body
boxer,wht brn,body
germ shepherd,blk brn,body
pit bull,NA,body
pit bull,gray white,head
pug,brown,head
black lab,black,head
border collie,white,unknown
boston terrier,blk brn,unknown
coon hound,NA,unknown
gold retriever,blonde,head
germ shepherd,NA,body
beagle,red,body
rat terrier,brindle,body
pit bull,brindle,head
poodle,gold,body
boxer,brindle,body
germ shepherd,NA,head
pit bull,brown,body
labrador retriv,NA,body
poodle,black,unknown
collie,brn blk wh,unknown
gold retriever,yellow,body
aaust. terr.,brindle,body
rottweiler,black,body
pit bull,tan,body
pit bull,blk wht,body
pit bull,brindle,body
cane corso,brindle,head
pit bull,gray,body
pit bull,red white,head
pit bull,brn whte,body
pit bull,NA,unknown
pit bull,NA,unknown
schnauzer,blakc,body
germ shepherd,blck brn,body
pit bull,black,body
pit bull,black,head
great pyreneese,wht blk,head
pit bull,brown,unknown
pit bull,brn white,body
pit bull,blue white,unknown
pit bull,brown,body
black lab,black,body
english bulldog,brindle,head
pit bull,blue brn,unknown
cane corso,grey,unknown
germ shepherd,NA,body
pit bull,brn wht,body
boxer,brown,body
cane corso,gray,body
pug,NA,head
labrador retriv,yello,unknown
pit bull,brn blck,body
boxer,blk wht,body
gold retriever,golden,body
st bernard,tri,head
pit bull,grey wht,unknown
pit bull,NA,unknown
pit bull,brindle,unknown
bichon frese,white,body
shih tzu,white,head
pit bull,blk white,unknown
greyhound,black,body
germ shepherd,gry black,body
aaust. terr.,tri,unknown
husky,NA,unknown
bull dog,brn wht,body
pit bull,gry wht,body
pit bull,blk wht,body
chow chow,red,body
pit bull,blk wht,unknown
pit bull,wht blk,head
black lab,black,head
yorkshire terrier,tan white,unknown
pit bull,red,head
rottweiler,blk brn,body
boxer,tan,body
germ shepherd,black,body
labrador retriv,black,body
germ shepherd,blck brn,unknown
labrador retriv,white,unknown
chow chow,NA,NA
pit bull,blk wht,body
germ shepherd,grey blck,head
labrador retriv,black,unknown
pit bull,black wht,body
amer. bull dog,white,body
chow chow,cream,unknown
yorkshire terrier,grey white,head
pit bull,brown,body
st bernard,white,body
pit bull,white,head
am bulldog,tri,body
chichauhua,blk wht,body
labrador retriv,yellow,unknown
pit bull,buff,body
pit bull,buff,body
pit bull,brn white,body
beagle,NA,unknown
boxer,brn white,body
poodle,grey,unknown
cocker spainel,choc,unknown
germ shepherd,blck,head
pug,brn blck,unknown
pit bull,tan,body
catahoula,br-wht,body
aaust. terr.,tri,body
beagle,black,body
min pin,red/tan,body
labrador retriv,blk wht,body
great pyreneese,tan white,head
germ shepherd,blck yello,body
germ shepherd,blk wht,head
pit bull,gry white,body
germ shepherd,black,body
mastif,blk brindl,NA
pit bull,NA,body
collie,blck wht,unknown
dachshund,light brow,body
basset hound,brn blk,body
pit bull,blk,body
germ shepherd,blk tan,body
dotson,black tan,head
labrador retriv,black,head
chichauhua,brindle,body
chichauhua,brown,body
welsh corgi,tri,body
pit bull,tan,body
boxer,brindle,body
aaust. terr.,gr/wh/blk,body
dachshund,black/whit,unknown
germ shepherd,brwn/blk,body
pit bull,tan/wht,body
boxer,brn white,body
chichauhua,black,body
eng. mastiff,blonde,head
chichauhua,black,NA
rottweiler,black/brn,body
labrador retriv,black,unknown
border collie,blck white,head
cocker spainel,black,unknown
labrador retriv,brown,unknown
golden lab,yellow,body
germ shepherd,brown blk,unknown
boxer,brn white,head
pit bull,blk whte,body
pit bull,brindle,body
dotson,brown,unknown
labrador retriv,blk/wht,body
shih tzu,black,body
germ shepherd,brn/blk,head
toy fox terrier,blk/wht,body
maltase,white,unknown
english bulldog,fawn/wht,unknown
other,red/brwn,head
germ shepherd,blk/brn,body
yorkshire terrier,red/blk,body
boxer,blk/wht,body
boxer,blk wht,body
pit bull,NA,body
shih tzu,blonde,NA
