OBS,Treatment,Plot,Reserve,Replicate,Plant_species,Ant_resident,Classification_Ant,Height
102,CF,Camp41-CF,1501,1,Cn,none,,<1
103,CF,Camp41-CF,1501,1,Cn,none,,<1
104,CF,Camp41-CF,1501,1,Cn,none,,<1
105,CF,Camp41-CF,1501,1,Cn,none,,<1
106,CF,Camp41-CF,1501,1,Cn,none,,<1
107,CF,Camp41-CF,1501,1,Cn,none,,<1
108,CF,Camp41-CF,1501,1,Cn,none,,<1
109,CF,Camp41-CF,1501,1,Cn,none,,<1
110,CF,Camp41-CF,1501,1,Cn,none,,<1
111,CF,Camp41-CF,1501,1,Cn,none,,<1
112,CF,Camp41-CF,1501,1,Cn,none,,<1
113,CF,Camp41-CF,1501,1,Cn,none,,<1
114,CF,Camp41-CF,1501,1,Cn,none,,<1
115,CF,Camp41-CF,1501,1,Ds,none,,<1
116,CF,Camp41-CF,1501,1,Hm,none,,<1
117,CF,Camp41-CF,1501,1,Hm,none,,<1
118,CF,Camp41-CF,1501,1,Cn,none,,1
119,CF,Camp41-CF,1501,1,Cn,none,,<1
120,CF,Camp41-CF,1501,1,Tm,Pc,Obligate,5
121,CF,Camp41-CF,1501,1,Tm,Pc,Obligate,10
122,CF,Camp41-CF,1501,1,Tv,Pc,Obligate,4.5
123,CF,Camp41-CF,1501,1,Tm,Pn,Obligate,5
124,CF,Camp41-CF,1501,1,Tm,Pn,Obligate,7.5
125,CF,Camp41-CF,1501,1,Cn,Pu,Opportunist,<1
126,CF,Camp41-CF,1501,1,Cn,Pu,Opportunist,<1
127,CF,Camp41-CF,1501,1,Mg,Pm,Obligate,<1
128,CF,Camp41-CF,1501,1,Cn,Ph45,Opportunist,<1
129,CF,Camp41-CF,1501,1,Cn,Ph52 ,Opportunist,<1
130,CF,Camp41-CF,1501,1,Cn,Ph81,Opportunist,<1
131,CF,Camp41-CF,1501,1,Cn,So3,Opportunist,2
132,CF,Camp41-CF,1501,1,Ds,So3,Opportunist,2
133,CF,Dimona-CF,Dimona,2,Hm,Ad,Obligate,5
134,CF,Dimona-CF,Dimona,2,Hm,Ad,Obligate,1.6
