OBS,Treatment,Plot,Reserve,Replicate,Plant_species,Ant_resident,Classification_Ant,Height
402,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,3
403,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,5.5
404,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,7
405,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,1
406,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,2.5
407,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,1.5
408,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,5.5
409,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,3
410,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,3
411,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,3
412,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,1
413,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,6
414,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,<1
415,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,3
416,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,1.8
417,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,4.5
418,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,1.8
419,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,1
420,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,1.2
421,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,2
422,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,1.2
423,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,3
424,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,6
425,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,1.8
426,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,1.4
427,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,<1
428,CF,Florestal-CF,1301,3,Hm,Ao,Obligate,6.5
429,CF,Florestal-CF,1301,3,Hp,Ao,Obligate,<1
430,CF,Florestal-CF,1301,3,Hp,Ao,Obligate,3.5
431,CF,Florestal-CF,1301,3,Hp,Ao,Obligate,3.5
432,CF,Florestal-CF,1301,3,Hp,Ao,Obligate,<1
433,CF,Florestal-CF,1301,3,Hp,Ao,Obligate,5.5
434,CF,Florestal-CF,1301,3,Hp,Ao,Obligate,3
435,CF,Florestal-CF,1301,3,Hp,Ao,Obligate,1.5
436,CF,Florestal-CF,1301,3,Hp,Ao,Obligate,<1
437,CF,Florestal-CF,1301,3,Hp,Ao,Obligate,5
438,CF,Florestal-CF,1301,3,Hp,Ao,Obligate,4.5
439,CF,Florestal-CF,1301,3,Hp,Ao,Obligate,4
440,CF,Florestal-CF,1301,3,Hp,Ao,Obligate,1.2
441,CF,Florestal-CF,1301,3,Hp,Ao,Obligate,<1
442,CF,Florestal-CF,1301,3,Hp,Ao,Obligate,<1
443,CF,Florestal-CF,1301,3,Hp,Ao,Obligate,<1
444,CF,Florestal-CF,1301,3,Ts,Ao,Obligate,<1
445,CF,Florestal-CF,1301,3,Hm,As,Obligate,1.5
446,CF,Florestal-CF,1301,3,Hm,As,Obligate,<1
447,CF,Florestal-CF,1301,3,Hm,As,Obligate,<1
448,CF,Florestal-CF,1301,3,Hm,As,Obligate,<1
449,CF,Florestal-CF,1301,3,Hm,As,Obligate,1
450,CF,Florestal-CF,1301,3,Hm,As,Obligate,<1
451,CF,Florestal-CF,1301,3,Hm,As,Obligate,<1
452,CF,Florestal-CF,1301,3,Hm,As,Obligate,<1
453,CF,Florestal-CF,1301,3,Hm,As,Obligate,1.4
454,CF,Florestal-CF,1301,3,Hm,As,Obligate,4.5
455,CF,Florestal-CF,1301,3,Hm,As,Obligate,<1
456,CF,Florestal-CF,1301,3,Hm,As,Obligate,1
457,CF,Florestal-CF,1301,3,Hm,As,Obligate,<1
458,CF,Florestal-CF,1301,3,Hm,As,Obligate,1.2
459,CF,Florestal-CF,1301,3,Hp,As,Obligate,<1
460,CF,Florestal-CF,1301,3,Hp,As,Obligate,<1
461,CF,Florestal-CF,1301,3,Hp,As,Obligate,1
462,CF,Florestal-CF,1301,3,Cn,Az1,Obligate,3
463,CF,Florestal-CF,1301,3,Cn,Az1,Obligate,1.1
464,CF,Florestal-CF,1301,3,Cn,Az1,Obligate,1.2
465,CF,Florestal-CF,1301,3,Cn,Az1,Obligate,<1
466,CF,Florestal-CF,1301,3,Cn,Az1,Obligate,<1
467,CF,Florestal-CF,1301,3,Cn,Az1,Obligate,1
468,CF,Florestal-CF,1301,3,Cn,Az1,Obligate,<1
469,CF,Florestal-CF,1301,3,Cn,Az1,Obligate,1.5
470,CF,Florestal-CF,1301,3,Hp,Az1,Obligate,1
471,CF,Florestal-CF,1301,3,Hp,Az1,Obligate,1.5
472,CF,Florestal-CF,1301,3,Cn,Az2,Obligate,1.8
473,CF,Florestal-CF,1301,3,Hp,Az2,Obligate,1
474,CF,Florestal-CF,1301,3,Cn,Azu,Obligate,1
475,CF,Florestal-CF,1301,3,Cp,none,,<1
476,CF,Florestal-CF,1301,3,Cn,none,,<1
477,CF,Florestal-CF,1301,3,Cn,none,,<1
478,CF,Florestal-CF,1301,3,Cn,none,,<1
479,CF,Florestal-CF,1301,3,Cn,none,,<1
480,CF,Florestal-CF,1301,3,Cn,none,,<1
481,CF,Florestal-CF,1301,3,Cn,none,,<1
482,CF,Florestal-CF,1301,3,Ds,none,,2.5
483,CF,Florestal-CF,1301,3,Hm,none,,3
484,CF,Florestal-CF,1301,3,Hm,none,,<1
485,CF,Florestal-CF,1301,3,Hm,none,,2
486,CF,Florestal-CF,1301,3,Hm,none,,1
487,CF,Florestal-CF,1301,3,Hp,none,,<1
488,CF,Florestal-CF,1301,3,Hm,none,,3.5
489,CF,Florestal-CF,1301,3,Tm,Pc,Obligate,3
490,CF,Florestal-CF,1301,3,Tv,Pc,Obligate,4
491,CF,Florestal-CF,1301,3,Tv,Pc,Obligate,1.6
492,CF,Florestal-CF,1301,3,Tv,Pc,Obligate,1.5
493,CF,Florestal-CF,1301,3,Tv,Pc,Obligate,<1
494,CF,Florestal-CF,1301,3,Tv,Pc,Obligate,4.5
495,CF,Florestal-CF,1301,3,Tv,Ph13,Opportunist,3
496,CF,Florestal-CF,1301,3,Tv,Ph52,Opportunist,<1
497,CF,Florestal-CF,1301,3,Cn,Wa,Opportunist,<1
498,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ad,Obligate,3
499,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ad,Obligate,3
500,CF,PortoAlegre-CF,PortoAlegre,4,Ds,Ao,Obligate,6
501,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,1.1
502,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,<1
503,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,1
504,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,1
505,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,2
506,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,1
507,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,2
508,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,3
509,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,2.5
510,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,2
511,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,2
512,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,4
513,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,1.2
514,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,<1
515,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,4
516,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,<1
517,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,1
518,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,1.5
519,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,4
520,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,<1
521,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,4
522,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,4
523,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,2.5
524,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,2.5
525,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,1
526,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,<1
527,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,2
528,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,2.5
529,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,6.5
530,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,7
531,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,1.5
532,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,<1
533,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,1.7
534,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,1
535,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,5
536,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,1
537,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,4
538,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,9
539,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,3.5
540,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,4
541,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,1.5
542,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,3
543,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,2.5
544,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,3
545,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,4.5
546,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,5
547,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,1.3
548,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,
549,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Ao,Obligate,
550,CF,PortoAlegre-CF,PortoAlegre,4,Hp,Ao,Obligate,<1
551,CF,PortoAlegre-CF,PortoAlegre,4,Hp,Ao,Obligate,6
552,CF,PortoAlegre-CF,PortoAlegre,4,Hp,Ao,Obligate,1
553,CF,PortoAlegre-CF,PortoAlegre,4,Ds,As,Obligate,9
554,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
555,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,1.2
556,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,1
557,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
558,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
559,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
560,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
561,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,1
562,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
563,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
564,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
565,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
566,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,4
567,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
568,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
569,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
570,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,1.2
571,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
572,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,1
573,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
574,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
575,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
576,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
577,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
578,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,2.5
579,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
580,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,4
581,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,1.2
582,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
583,CF,PortoAlegre-CF,PortoAlegre,4,Hm,As,Obligate,<1
584,CF,PortoAlegre-CF,PortoAlegre,4,Hp,As,Obligate,<1
585,CF,PortoAlegre-CF,PortoAlegre,4,Hp,As,Obligate,<1
586,CF,PortoAlegre-CF,PortoAlegre,4,Hp,As,Obligate,1
587,CF,PortoAlegre-CF,PortoAlegre,4,Cn,Az1,Obligate,<1
588,CF,PortoAlegre-CF,PortoAlegre,4,Cn,Az1,Obligate,2.5
589,CF,PortoAlegre-CF,PortoAlegre,4,Ds,Az1,Obligate,2.5
590,CF,PortoAlegre-CF,PortoAlegre,4,Cn,Az3,Obligate,1
591,CF,PortoAlegre-CF,PortoAlegre,4,Cn,Az3,Obligate,2
592,CF,PortoAlegre-CF,PortoAlegre,4,Tb,Az3,Obligate,<1
593,CF,PortoAlegre-CF,PortoAlegre,4,Cn,Azu,Obligate,<1
594,CF,PortoAlegre-CF,PortoAlegre,4,Cn,Azu,Obligate,<1
595,CF,PortoAlegre-CF,PortoAlegre,4,Hm,By2,Opportunist,4
596,CF,PortoAlegre-CF,PortoAlegre,4,Cp,Cab,Obligate,1.2
597,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Cb,Opportunist,1.3
598,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Cb,Opportunist,5
599,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Cb,Opportunist,<1
600,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Clp,Opportunist,3
601,CF,PortoAlegre-CF,PortoAlegre,4,Cn,Crub,Opportunist,3
602,CF,PortoAlegre-CF,PortoAlegre,4,Cp,none,,7
603,CF,PortoAlegre-CF,PortoAlegre,4,Cp,none,,3
604,CF,PortoAlegre-CF,PortoAlegre,4,Cp,none,,<1
605,CF,PortoAlegre-CF,PortoAlegre,4,Cp,none,,1
606,CF,PortoAlegre-CF,PortoAlegre,4,Cp,none,,<1
607,CF,PortoAlegre-CF,PortoAlegre,4,Cn,none,,<1
608,CF,PortoAlegre-CF,PortoAlegre,4,Cn,none,,<1
609,CF,PortoAlegre-CF,PortoAlegre,4,Cn,none,,<1
610,CF,PortoAlegre-CF,PortoAlegre,4,Cn,none,,<1
611,CF,PortoAlegre-CF,PortoAlegre,4,Cn,none,,<1
612,CF,PortoAlegre-CF,PortoAlegre,4,Cn,none,,<1
613,CF,PortoAlegre-CF,PortoAlegre,4,Cn,none,,1.1
614,CF,PortoAlegre-CF,PortoAlegre,4,Cn,none,,<1
615,CF,PortoAlegre-CF,PortoAlegre,4,Cn,none,,<1
616,CF,PortoAlegre-CF,PortoAlegre,4,Cn,none,,<1
617,CF,PortoAlegre-CF,PortoAlegre,4,Cn,none,,<1
618,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
619,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
620,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,1.2
621,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,3
622,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
623,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,2
624,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,6
625,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,4
626,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,3
627,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
628,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
629,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
630,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,4
631,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,6
632,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,
633,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,2
634,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,3
635,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,3
636,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
637,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,4
638,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
639,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
640,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
641,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
642,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
643,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
644,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,5
645,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,2
646,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,1.7
647,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
648,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
649,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,1.4
650,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,1
651,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
652,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,4
653,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,2.5
654,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,3
655,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
656,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,<1
657,CF,PortoAlegre-CF,PortoAlegre,4,Hm,none,,4
658,CF,PortoAlegre-CF,PortoAlegre,4,Hp,none,,2
659,CF,PortoAlegre-CF,PortoAlegre,4,Tm,none,,<1
660,CF,PortoAlegre-CF,PortoAlegre,4,Tm,none,,<1
661,CF,PortoAlegre-CF,PortoAlegre,4,Tm,none,,<1
662,CF,PortoAlegre-CF,PortoAlegre,4,Tb,none,,<1
663,CF,PortoAlegre-CF,PortoAlegre,4,Tb,none,,<1
664,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Pc,Obligate,5
665,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Pc,Obligate,2.5
666,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Pc,Obligate,1.2
667,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Pc,Obligate,6.5
668,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Pc,Obligate,5.5
669,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Pc,Obligate,1.5
670,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Pc,Obligate,3.5
671,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Pc,Obligate,6.5
672,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Pc,Obligate,2
673,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Pc,Obligate,2
674,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Pc,Obligate,<1
675,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Pc,Obligate,3
676,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Pc,Obligate,4.5
677,CF,PortoAlegre-CF,PortoAlegre,4,Ts,Pc,Obligate,1.7
678,CF,PortoAlegre-CF,PortoAlegre,4,Ts,Pc,Obligate,1
679,CF,PortoAlegre-CF,PortoAlegre,4,Ts,Pc,Obligate,<1
680,CF,PortoAlegre-CF,PortoAlegre,4,Tv,Pc,Obligate,2.5
681,CF,PortoAlegre-CF,PortoAlegre,4,Tv,Pc,Obligate,4
682,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Pn,Obligate,5
683,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Pn,Obligate,6
684,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Pn,Obligate,3.5
685,CF,PortoAlegre-CF,PortoAlegre,4,Tm,Pn,Obligate,6
686,CF,PortoAlegre-CF,PortoAlegre,4,Hm,Soa,Opportunist,<1
687,CF,PortoAlegre-CF,PortoAlegre,4,Hm,So6,Opportunist,1
688,CF,PortoAlegre-CF,PortoAlegre,4,Hm,So6,Opportunist,2
689,CF,PortoAlegre-CF,PortoAlegre,4,Hp,Wa,Opportunist,<1
690,FF,Colosso-FF,1301,1,Ds,Ao,Obligate,2
691,FF,Colosso-FF,1301,1,Ds,Ao,Obligate,1
692,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,2
693,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,1.6
694,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,<1
695,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,4
696,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,2
697,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,<1
698,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,2
699,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,3
700,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,4
701,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,<1
702,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,3
703,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,3
704,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,1.8
705,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,4.5
706,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,3
707,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,<1
708,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,1.5
709,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,8
710,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,<1
711,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,3
712,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,2
713,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,1
714,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,1.5
715,FF,Colosso-FF,1301,1,Hm,Ao,Obligate,3
716,FF,Colosso-FF,1301,1,Hp,Ao,Obligate,1
717,FF,Colosso-FF,1301,1,Hp,Ao,Obligate,2
718,FF,Colosso-FF,1301,1,Hp,Ao,Obligate,4
719,FF,Colosso-FF,1301,1,Hp,Ao,Obligate,3
720,FF,Colosso-FF,1301,1,Ds,As,Obligate,2
721,FF,Colosso-FF,1301,1,Hm,As,Obligate,<1
722,FF,Colosso-FF,1301,1,Cn,Az1,Obligate,1
723,FF,Colosso-FF,1301,1,Tm,Az2,Obligate,5
724,FF,Colosso-FF,1301,1,Cn,Cb,Opportunist,<1
725,FF,Colosso-FF,1301,1,Hm,Cb,Opportunist,4
726,FF,Colosso-FF,1301,1,Cn,Doa,Opportunist,<1
727,FF,Colosso-FF,1301,1,Cn,Lt,Opportunist,<1
728,FF,Colosso-FF,1301,1,Ag,none,,>10
729,FF,Colosso-FF,1301,1,Cp,none,,<1
730,FF,Colosso-FF,1301,1,Cn,none,,<1
731,FF,Colosso-FF,1301,1,Cn,none,,<1
732,FF,Colosso-FF,1301,1,Cn,none,,<1
733,FF,Colosso-FF,1301,1,Cn,none,,<1
734,FF,Colosso-FF,1301,1,Cn,none,,<1
735,FF,Colosso-FF,1301,1,Cn,none,,<1
736,FF,Colosso-FF,1301,1,Cn,none,,<1
737,FF,Colosso-FF,1301,1,Cn,none,,<1
738,FF,Colosso-FF,1301,1,Cn,none,,<1
739,FF,Colosso-FF,1301,1,Hm,none,,4
740,FF,Colosso-FF,1301,1,Tb,none,,<1
741,FF,Colosso-FF,1301,1,Tm,Pn,Obligate,6
742,FF,Colosso-FF,1301,1,Cn,Pa5,Opportunist,<1
743,FF,Colosso-FF,1301,1,Cn,Pa5,Opportunist,<1
744,FF,Colosso-FF,1301,1,Cn,So12,Opportunist,1
745,FF,2108-FF,2108,2,Hm,Ao,Obligate,1.8
746,FF,2108-FF,2108,2,Hm,Ao,Obligate,1.4
747,FF,2108-FF,2108,2,Hm,Ao,Obligate,4
748,FF,2108-FF,2108,2,Hm,Ao,Obligate,<1
749,FF,2108-FF,2108,2,Hm,Ao,Obligate,3
750,FF,2108-FF,2108,2,Hm,Ao,Obligate,5
751,FF,2108-FF,2108,2,Hm,Ao,Obligate,1.5
752,FF,2108-FF,2108,2,Hm,Ao,Obligate,2
753,FF,2108-FF,2108,2,Hm,Ao,Obligate,4
754,FF,2108-FF,2108,2,Hm,Ao,Obligate,4.5
755,FF,2108-FF,2108,2,Hm,Ao,Obligate,3
756,FF,2108-FF,2108,2,Hm,Ao,Obligate,1
757,FF,2108-FF,2108,2,Hm,Ao,Obligate,2.5
758,FF,2108-FF,2108,2,Hm,Ao,Obligate,<1
759,FF,2108-FF,2108,2,Hm,Ao,Obligate,1
760,FF,2108-FF,2108,2,Hm,Ao,Obligate,1.4
761,FF,2108-FF,2108,2,Hm,Ao,Obligate,1
762,FF,2108-FF,2108,2,Hm,Ao,Obligate,<1
763,FF,2108-FF,2108,2,Hm,Ao,Obligate,<1
764,FF,2108-FF,2108,2,Hm,Ao,Obligate,1.5
765,FF,2108-FF,2108,2,Hm,Ao,Obligate,<1
766,FF,2108-FF,2108,2,Hm,Ao,Obligate,<1
767,FF,2108-FF,2108,2,Hm,Ao,Obligate,<1
768,FF,2108-FF,2108,2,Hm,Ao,Obligate,4
769,FF,2108-FF,2108,2,Hm,Ao,Obligate,<1
770,FF,2108-FF,2108,2,Hm,Ao,Obligate,1.4
771,FF,2108-FF,2108,2,Hm,Ao,Obligate,4
772,FF,2108-FF,2108,2,Hm,Ao,Obligate,<1
773,FF,2108-FF,2108,2,Hm,Ao,Obligate,3
774,FF,2108-FF,2108,2,Hm,Ao,Obligate,<1
775,FF,2108-FF,2108,2,Hm,Ao,Obligate,3
776,FF,2108-FF,2108,2,Hm,Ao,Obligate,4.4
777,FF,2108-FF,2108,2,Hm,Ao,Obligate,3
778,FF,2108-FF,2108,2,Hm,Ao,Obligate,<1
779,FF,2108-FF,2108,2,Hm,Ao,Obligate,6
780,FF,2108-FF,2108,2,Hm,Ao,Obligate,3.5
781,FF,2108-FF,2108,2,Hm,Ao,Obligate,5
782,FF,2108-FF,2108,2,Hm,Ao,Obligate,6
783,FF,2108-FF,2108,2,Hm,Ao,Obligate,2.5
784,FF,2108-FF,2108,2,Hm,Ao,Obligate,4
785,FF,2108-FF,2108,2,Hm,Ao,Obligate,4
786,FF,2108-FF,2108,2,Hm,Ao,Obligate,3
787,FF,2108-FF,2108,2,Hm,Ao,Obligate,1.7
788,FF,2108-FF,2108,2,Hm,Ao,Obligate,<1
789,FF,2108-FF,2108,2,Hm,Ao,Obligate,<1
