Date,Tank,CO2_Treat,Light_Treat,Treatment,Salinity,Temperature,pHT,pCO2,HCO3,CO3,DIC,ALK,OmegaAragonite
24-Nov-14,tank1,ACO2,LL,AC-LL,33.8,25.71,7.934163955,511.4224675,1754.493551,162.7622915,1931.563198,2157.139667,2.611837251
24-Nov-14,tank2,ACO2,LL,AC-LL,33.9,26.02,7.93672205,503.3268113,1734.410701,164.0798779,1912.456187,2141.014067,2.635415722
24-Nov-14,tank3,ACO2,LL,AC-LL,33.8,26.21,7.933505588,511.3117462,1746.398812,164.7487794,1925.27552,2153.944753,2.650341569
24-Nov-14,tank4,HCO2,LL,HC-LL,33.8,26.28,7.799974528,732.115641,1837.938186,127.8168552,1985.949021,2153.738659,2.056941011
24-Nov-14,tank5,HCO2,LL,HC-LL,33.8,25.77,7.74822162,839.6582861,1876.637774,113.7085933,2013.80121,2157.494381,1.825218511
24-Nov-14,tank6,HCO2,LL,HC-LL,33.7,25.66,7.733859331,869.4778377,1880.607541,109.5411846,2014.515815,2151.22157,1.758441429
24-Nov-14,tank7,ACO2,HL,AC-HL,34.2,26.26,7.835474834,642.4940429,1752.933638,133.4375934,1904.065469,2085.377919,2.141755213
24-Nov-14,tank8,ACO2,HL,AC-HL,33.9,26.21,7.840912221,657.289618,1814.566423,138.637171,1971.355644,2157.255616,2.228887678
24-Nov-14,tank9,ACO2,HL,AC-HL,33.7,25.74,7.842869644,654.2688411,1818.044913,136.5102533,1972.854507,2155.395802,2.192241072
24-Nov-14,tank10,HCO2,HL,HC-HL,33.9,24.52,7.914960313,538.4594294,1780.326446,151.6220834,1947.462831,2155.86571,2.417681992
24-Nov-14,tank11,HCO2,HL,HC-HL,33.7,26.3,7.882289627,592.0293261,1795.582086,150.6852972,1962.597712,2167.526399,2.426712924
24-Nov-14,tank12,HCO2,HL,HC-HL,33.6,25.64,7.870631815,604.2174308,1790.196893,142.4324042,1949.579709,2142.564863,2.287598045
24-Nov-14,tank13,ACO2,LL,AC-LL,33.8,25.71,7.934163955,506.0830083,1736.175956,161.0629899,1911.396928,2135.423469,2.584568655
24-Nov-14,tank14,ACO2,LL,AC-LL,33.9,26.02,7.93672205,509.5000534,1755.682998,166.0922939,1935.912187,2166.311196,2.667738715
24-Nov-14,tank15,ACO2,LL,AC-LL,33.8,26.21,7.933505588,514.4751288,1757.203409,165.768045,1937.186788,2166.787881,2.666738667
24-Nov-14,tank16,HCO2,HL,HC-HL,33.8,26.18,7.790634289,752.9360103,1851.054137,125.5310006,1997.404727,2161.004141,2.019132145
24-Nov-14,tank17,HCO2,HL,HC-HL,33.7,26,7.771783043,786.2611201,1852.140064,119.1998774,1993.189332,2146.727859,1.916742432
24-Nov-14,tank18,HCO2,HL,HC-HL,33.9,25.23,7.765745178,805.8789948,1881.862348,116.6697106,2021.337733,2169.983424,1.866652098
24-Nov-14,tank19,ACO2,LL,AC-LL,33.8,25.19,7.90794286,567.7643361,1839.22867,157.5960523,2012.916502,2226.731241,2.522500627
24-Nov-14,tank20,ACO2,LL,AC-LL,33.9,25.26,7.882053416,591.7531764,1805.888916,146.5032187,1969.125623,2168.044206,2.344312484
24-Nov-14,tank21,ACO2,LL,AC-LL,33.9,25.62,7.865728002,612.5399436,1796.587192,142.234703,1955.987701,2148.672844,2.280012525
24-Nov-14,tank22,HCO2,LL,HC-LL,33.9,25.17,7.918238114,543.7883206,1804.652867,158.5993602,1978.664227,2195.870333,2.536768272
24-Nov-14,tank23,HCO2,LL,HC-LL,33.8,26.16,8.028201357,396.8926545,1686.365904,197.4847853,1894.830689,2174.490077,3.176168352
24-Nov-14,tank24,HCO2,LL,HC-LL,33.8,25.17,7.963851505,468.6913394,1727.086998,168.1953384,1908.572849,2143.951518,2.691893341
1-Dec-14,tank1,ACO2,LL,AC-LL,32.8,25.3,7.9847465,449.4008856,1729.802205,173.4297173,1915.9999,2157.414673,2.793735034
1-Dec-14,tank2,ACO2,LL,AC-LL,32.8,25.49,7.98487459,453.2196035,1743.066952,176.0322264,1931.914346,2176.305905,2.838372096
1-Dec-14,tank3,ACO2,LL,AC-LL,32.9,25.95,8.00637094,418.0180232,1685.398321,182.3177671,1879.394917,2135.917111,2.944937648
1-Dec-14,tank4,HCO2,LL,HC-LL,33,25.23,7.988699133,442.1843435,1719.656527,174.3783231,1906.606901,2150.275037,2.80485155
1-Dec-14,tank5,HCO2,LL,HC-LL,32.9,26,7.979000846,455.1589043,1722.558577,175.2765439,1910.535827,2154.794548,2.831930604
1-Dec-14,tank6,HCO2,LL,HC-LL,33,26.35,7.979493166,460.1016949,1740.395049,180.0034527,1933.119865,2183.243594,2.911881845
1-Dec-14,tank7,ACO2,HL,AC-HL,32.9,25.32,7.991336488,442.4290794,1729.491348,176.6028158,1918.651227,2164.831973,2.843526238
1-Dec-14,tank8,ACO2,HL,AC-HL,33.1,26.39,7.898404141,559.3501634,1755.735008,151.2432324,1922.42054,2129.500475,2.445698801
1-Dec-14,tank9,ACO2,HL,AC-HL,32.8,25.69,7.988291203,448.8855157,1737.994445,178.2060313,1928.829725,2176.534169,2.876341689
