Date,Tank,CO2_Treat,Light_Treat,Treatment,Salinity,Temperature,pHT,pCO2,HCO3,CO3,DIC,ALK,OmegaAragonite
1-Dec-14,tank10,HCO2,HL,HC-HL,32.9,25.51,7.927336625,526.9380071,1775.618046,157.562042,1948.064524,2163.797166,2.539368881
1-Dec-14,tank11,HCO2,HL,HC-HL,32.9,25.63,7.941555092,503.0700893,1750.377157,161.1980923,1925.74287,2148.095032,2.599546866
1-Dec-14,tank12,HCO2,HL,HC-HL,32.8,25.81,7.988989284,445.1029978,1724.910774,177.9282645,1915.324429,2163.261233,2.873620146
1-Dec-14,tank13,ACO2,LL,AC-LL,32.9,26.12,7.998224067,428.6778071,1694.58035,181.0250893,1887.531673,2141.589107,2.926621714
1-Dec-14,tank14,ACO2,LL,AC-LL,32.8,25.76,8.02818026,399.8204705,1696.247046,191.1455787,1898.621808,2167.187027,3.086295722
1-Dec-14,tank15,ACO2,LL,AC-LL,32.8,25.47,8.01372955,411.4736526,1691.42774,182.4183138,1885.486659,2141.915997,2.94104517
1-Dec-14,tank16,HCO2,HL,HC-HL,32.7,25.5,8.00673019,420.487467,1699.857788,180.1603613,1891.910968,2144.444065,2.906720218
1-Dec-14,tank17,HCO2,HL,HC-HL,32.9,25.65,7.997053783,430.8674415,1703.314256,178.377302,1893.819722,2143.809336,2.876877709
1-Dec-14,tank18,HCO2,HL,HC-HL,33.2,26.67,7.951648419,490.1134454,1736.938588,171.2833907,1921.653157,2159.384243,2.772160256
1-Dec-14,tank19,ACO2,LL,AC-LL,33.1,25.65,7.949826996,490.6718792,1741.231257,164.3445994,1919.373127,2147.101923,2.647499262
1-Dec-14,tank20,ACO2,LL,AC-LL,33.5,26.4,7.948798067,500.0290344,1765.223443,172.466195,1951.462487,2189.979249,2.782325427
1-Dec-14,tank21,ACO2,LL,AC-LL,33,26.15,7.955879444,484.1133641,1736.322963,168.8417437,1918.616276,2152.805152,2.728488666
1-Dec-14,tank22,HCO2,LL,HC-LL,32.7,25.4,7.889393054,589.4203065,1819.71166,146.6633023,1983.087656,2180.151773,2.365078901
1-Dec-14,tank23,HCO2,LL,HC-LL,32.9,26.2,7.86961048,608.633748,1788.4286,142.4961443,1947.824017,2139.917171,2.304682047
1-Dec-14,tank24,HCO2,LL,HC-LL,32.9,26.65,7.892974595,578.5127274,1789.215757,152.9273582,1958.028995,2165.523385,2.479231867
4-Dec-14,tank1,ACO2,LL,AC-LL,33.7,25.43,8.005622365,421.3761331,1706.299813,184.2640962,1902.441098,2162.148411,2.954597752
4-Dec-14,tank2,ACO2,LL,AC-LL,33.7,25.72,8.018397249,409.4195218,1704.493582,191.5869437,1907.537358,2177.764464,3.076420884
4-Dec-14,tank3,ACO2,LL,AC-LL,34.1,25.89,7.991700999,439.0299641,1719.480781,184.608867,1916.297976,2176.137433,2.95951311
4-Dec-14,tank4,HCO2,LL,HC-LL,34.1,25.22,7.929662763,524.1577735,1786.556702,162.2488075,1963.627067,2187.416629,2.592567
4-Dec-14,tank5,HCO2,LL,HC-LL,33.8,25.84,8.002226983,430.7097098,1726.999773,188.2877914,1927.298004,2191.61198,3.02339551
4-Dec-14,tank6,HCO2,LL,HC-LL,33.7,26.11,8.050513259,373.041291,1668.471125,204.8310929,1883.640464,2174.686433,3.295525754
4-Dec-14,tank7,ACO2,HL,AC-HL,33.9,25.35,8.060312586,363.5165852,1671.498274,205.094369,1886.848901,2178.837848,3.283309205
4-Dec-14,tank8,ACO2,HL,AC-HL,33.9,26.27,7.943120883,487.1168945,1701.015601,164.8066777,1879.25486,2110.564148,2.6504215
4-Dec-14,tank9,ACO2,HL,AC-HL,34,25.61,7.950151025,494.4798426,1762.217429,169.7852669,1945.856283,2181.71811,2.719824955
4-Dec-14,tank10,HCO2,HL,HC-HL,34.3,27.33,7.94963117,491.5932873,1734.444292,178.9617029,1926.588834,2176.889602,2.886338497
4-Dec-14,tank11,HCO2,HL,HC-HL,33.7,25.79,8.039730444,383.4955848,1676.269659,198.4081697,1885.390535,2166.975177,3.187063677
4-Dec-14,tank12,HCO2,HL,HC-HL,33.9,25.84,8.040995763,387.8422757,1700.916243,203.2371028,1914.962835,2202.348692,3.261422123
4-Dec-14,tank13,ACO2,LL,AC-LL,33.6,26.27,7.966685381,475.0795326,1749.61529,177.7062168,1940.442386,2187.653069,2.863197668
4-Dec-14,tank14,ACO2,LL,AC-LL,33.5,25.55,8.083928679,339.2369848,1642.775044,212.3851664,1864.703369,2167.907924,3.411631906
4-Dec-14,tank15,ACO2,LL,AC-LL,33.8,25.29,8.08615091,336.8431746,1643.802764,213.0882449,1866.41397,2171.247037,3.412371209
4-Dec-14,tank16,HCO2,HL,HC-HL,33.6,25.01,8.061499568,361.6236251,1668.912097,201.3643603,1880.583067,2167.052329,3.224128576
4-Dec-14,tank17,HCO2,HL,HC-HL,34.3,25.72,7.944201109,498.3424922,1752.444319,168.3940984,1934.7404,2169.413282,2.693892641
4-Dec-14,tank18,HCO2,HL,HC-HL,34,26.45,8.017360933,408.7793106,1692.409606,196.2830352,1899.909414,2177.680039,3.15751292
4-Dec-14,tank19,ACO2,LL,AC-LL,34.2,25.49,8.059127873,362.9160687,1664.511695,206.1711469,1880.870458,2175.262949,3.296633491
4-Dec-14,tank20,ACO2,LL,AC-LL,34.7,25.6,7.913119061,544.4296462,1785.752083,160.524771,1961.478498,2183.259548,2.559878683
4-Dec-14,tank21,ACO2,LL,AC-LL,33.7,25.84,8.056166155,364.7821726,1655.491212,203.8789003,1869.547404,2160.132465,3.275758338
4-Dec-14,tank22,HCO2,LL,HC-LL,33.9,26.35,7.976127708,460.0642164,1732.609747,181.6526465,1926.923997,2181.194965,2.922522847
4-Dec-14,tank23,HCO2,LL,HC-LL,33.6,26.2,7.849407616,642.3063041,1806.407538,139.6974471,1963.875052,2151.522824,2.249998769
4-Dec-14,tank24,HCO2,LL,HC-LL,33.9,27.07,7.953429152,489.3636871,1741.926677,177.9347712,1933.094367,2181.052472,2.873346525
8-Dec-14,tank1,ACO2,LL,AC-LL,33.8,25.28,8.029667804,399.8981149,1713.615948,194.9759273,1919.900314,2194.882629,3.122170723
8-Dec-14,tank2,ACO2,LL,AC-LL,33.8,25.57,8.030670154,402.1264008,1724.226811,198.7364861,1934.25241,2213.868956,3.186908566
8-Dec-14,tank3,ACO2,LL,AC-LL,33.8,25.95,8.041037543,387.3022627,1697.038464,203.1320069,1910.941018,2198.170554,3.263545813
8-Dec-14,tank4,HCO2,LL,HC-LL,33.8,26.28,8.033270182,390.8046061,1678.831391,199.7836587,1889.394645,2172.718677,3.215093974
8-Dec-14,tank5,HCO2,LL,HC-LL,33.8,26.28,8.013072716,420.8478327,1725.738504,196.0335497,1933.380332,2208.66907,3.15474393
8-Dec-14,tank6,HCO2,LL,HC-LL,33.8,26.22,7.986626501,455.5682191,1758.357027,187.5276343,1958.469248,2219.762853,3.016941571
8-Dec-14,tank7,ACO2,HL,AC-HL,33.8,25.61,8.086010132,344.650065,1678.221078,220.0433357,1907.930301,2220.372904,3.529277748
8-Dec-14,tank8,ACO2,HL,AC-HL,33.8,26.06,8.129402636,297.9709332,1599.20698,235.5601489,1843.030888,2181.843481,3.786629752
8-Dec-14,tank9,ACO2,HL,AC-HL,33.8,25.97,8.173977279,264.1213456,1571.574038,255.6693456,1834.584733,2203.145844,4.108029061
8-Dec-14,tank10,HCO2,HL,HC-HL,33.8,26.01,7.909141359,563.5128099,1821.790012,161.3024396,1998.739955,2218.469825,2.592285795
8-Dec-14,tank11,HCO2,HL,HC-HL,33.8,25.54,8.01910482,419.7588723,1752.839591,196.5092894,1961.141839,2236.004069,3.150728365
8-Dec-14,tank12,HCO2,HL,HC-HL,33.8,26.69,8.066877865,361.8776142,1675.697358,218.6994894,1904.278531,2214.441577,3.526898473
8-Dec-14,tank13,ACO2,LL,AC-LL,33.8,26.25,8.016683868,413.8913368,1711.679242,195.8454515,1918.949542,2194.773426,3.151237347
8-Dec-14,tank14,ACO2,LL,AC-LL,33.8,25.28,8.022912755,409.6146638,1728.162471,193.5962852,1933.341961,2205.533842,3.100078364
8-Dec-14,tank15,ACO2,LL,AC-LL,33.8,25.73,8.031045897,403.9018819,1731.727411,200.946866,1943.968054,2226.234761,3.22490261
8-Dec-14,tank16,HCO2,HL,HC-HL,33.8,25.9,8.147620781,286.067908,1602.580503,244.7350265,1855.280718,2206.723359,3.930962613
8-Dec-14,tank17,HCO2,HL,HC-HL,33.8,25.76,8.091497819,332.6954949,1639.181312,218.8553591,1867.33245,2180.361007,3.512830516
8-Dec-14,tank18,HCO2,HL,HC-HL,33.8,25.44,8.051989182,377.3624602,1700.742205,204.9148388,1916.285462,2206.108042,3.283886627
8-Dec-14,tank19,ACO2,LL,AC-LL,33.8,25.89,8.039846384,390.6068267,1707.422997,203.3687675,1921.670401,2208.675541,3.266369813
8-Dec-14,tank20,ACO2,LL,AC-LL,33.8,26.17,8.01228572,427.6649982,1751.627425,197.8183097,1961.274124,2237.736727,3.181693158
8-Dec-14,tank21,ACO2,LL,AC-LL,33.8,25.85,8.041861138,387.6222356,1702.649904,203.4455419,1916.901695,2204.309113,3.266950999
8-Dec-14,tank22,HCO2,LL,HC-LL,33.8,25.97,7.92967163,528.5897238,1792.024708,166.1047908,1972.821832,2201.220202,2.66892891
8-Dec-14,tank23,HCO2,LL,HC-LL,33.8,25.73,7.897834557,571.7612111,1803.876239,154.0270877,1973.890723,2183.859401,2.471908953
8-Dec-14,tank24,HCO2,LL,HC-LL,33.8,26.13,7.941885012,518.9972469,1808.016554,173.3772746,1995.762487,2233.914565,2.788022612
16-Dec-14,tank1,ACO2,LL,AC-LL,34.5,25.92,8.049009188,370.5199894,1657.724174,205.209351,1873.207864,2166.933685,3.281825812
16-Dec-14,tank2,ACO2,LL,AC-LL,34.5,26.35,8.081923834,335.2543903,1614.055933,218.9459896,1842.200173,2157.957433,3.508958785
16-Dec-14,tank3,ACO2,LL,AC-LL,34.5,25.98,8.073708421,342.7635875,1622.724017,213.0988127,1845.313377,2152.400424,3.409001289
16-Dec-14,tank4,HCO2,LL,HC-LL,34.5,25.15,7.973578737,458.3772406,1731.529843,175.1624986,1919.649726,2166.028492,2.790932381
16-Dec-14,tank5,HCO2,LL,HC-LL,34.3,25.92,8.020361668,400.6776327,1677.1448,193.4593784,1881.726247,2157.078578,3.097912863
16-Dec-14,tank6,HCO2,LL,HC-LL,34.5,26.37,7.994234387,433.9203075,1706.926563,189.3479661,1908.173982,2175.950278,3.034906081
16-Dec-14,tank7,ACO2,HL,AC-HL,34.5,25.2,8.084603052,336.4094311,1640.488179,214.6865647,1864.672403,2173.3302,3.421495368
16-Dec-14,tank8,ACO2,HL,AC-HL,34.5,24.61,8.112302155,309.7795302,1615.682406,220.535859,1845.095492,2163.886995,3.505020795
16-Dec-14,tank9,ACO2,HL,AC-HL,34.5,24.92,8.041654049,377.5523776,1670.485845,196.0035821,1877.22413,2157.502173,3.119620534
16-Dec-14,tank10,HCO2,HL,HC-HL,34.5,24.85,7.844448835,653.2244798,1836.116846,136.4583291,1991.180767,2174.045545,2.171178858
16-Dec-14,tank11,HCO2,HL,HC-HL,34.5,25.82,7.822393009,691.6309443,1837.420456,134.4898729,1991.136553,2170.273812,2.149788678
16-Dec-14,tank12,HCO2,HL,HC-HL,34.5,25.4,7.853093719,637.844621,1823.077099,141.0297935,1982.024658,2172.255126,2.24975839
16-Dec-14,tank13,ACO2,LL,AC-LL,34.4,25.45,7.994424976,433.5942963,1714.914795,183.5976441,1910.683667,2170.002772,2.931397734
16-Dec-14,tank14,ACO2,LL,AC-LL,34.5,25.42,8.158438736,270.61027,1562.17471,244.2860338,1814.058692,2169.2863,3.897312606
16-Dec-14,tank15,ACO2,LL,AC-LL,34.5,25.16,8.086678539,334.1708185,1637.759581,215.0405562,1862.244089,2171.592166,3.426487253
16-Dec-14,tank16,HCO2,HL,HC-HL,34.4,24.34,7.889614857,576.1638122,1801.846131,145.4896822,1963.969362,2162.654694,2.310876928
16-Dec-14,tank17,HCO2,HL,HC-HL,34.5,24.59,7.955077929,483.9309727,1757.572552,166.9140584,1938.361467,2171.486198,2.652553736
16-Dec-14,tank18,HCO2,HL,HC-HL,34.4,25.07,7.889823402,577.0455717,1797.745159,149.1768931,1963.275327,2167.326995,2.377506747
16-Dec-14,tank19,ACO2,LL,AC-LL,34.5,24.82,7.99862855,428.190265,1716.844818,181.7740931,1910.824195,2167.879965,2.891789851
16-Dec-14,tank20,ACO2,LL,AC-LL,34.5,25.03,8.0439894,376.7944529,1675.044104,198.3975129,1884.125067,2167.525548,3.159354539
16-Dec-14,tank21,ACO2,LL,AC-LL,34.4,25.26,7.997891373,430.1308791,1716.744621,183.9810767,1912.857344,2172.73754,2.934846705
16-Dec-14,tank22,HCO2,LL,HC-LL,34.4,23.96,7.713222445,923.2813698,1927.92799,102.266456,2057.110017,2180.922184,1.621545075
16-Dec-14,tank23,HCO2,LL,HC-LL,34.4,24.84,7.749826889,842.8768593,1904.888715,113.5481232,2042.462809,2185.504214,1.807715092
16-Dec-14,tank24,HCO2,LL,HC-LL,34.4,24.82,7.729700847,882.3752282,1904.073019,108.2801625,2037.517777,2171.966926,1.723686445
18-Dec-14,tank1,ACO2,LL,AC-LL,34.7,24,7.923196015,527.8943078,1788.832811,155.1826874,1959.364743,2173.934372,2.456419235
18-Dec-14,tank2,ACO2,LL,AC-LL,33.8,25.3,8.053242325,369.6594253,1672.205762,201.025009,1883.678861,2169.669468,3.21934856
18-Dec-14,tank3,ACO2,LL,AC-LL,34.8,26.2,8.017715049,404.0663417,1680.975882,196.9718992,1889.057857,2169.930256,3.148178071
18-Dec-14,tank5,HCO2,LL,HC-LL,34.8,24.36,7.791184233,749.7527708,1871.252622,121.6618152,2014.503134,2172.922906,1.927698704
18-Dec-14,tank6,HCO2,LL,HC-LL,34.7,26.16,7.844662017,651.9584352,1820.721121,142.691397,1981.365471,2173.999388,2.281691047
18-Dec-14,tank7,ACO2,HL,AC-HL,34.8,25.29,7.970591236,461.2960204,1730.775171,175.9964259,1919.745491,2167.736563,2.800628777
18-Dec-14,tank8,ACO2,HL,AC-HL,34.8,25.35,8.110169376,309.1291325,1598.925254,224.7110506,1832.317463,2158.289682,3.576838128
18-Dec-14,tank9,ACO2,HL,AC-HL,34.7,25.03,8.037228688,383.5957171,1679.963038,196.814977,1887.642998,2168.812643,3.130128475
18-Dec-14,tank10,HCO2,HL,HC-HL,34.7,24.62,7.76354877,810.9661511,1895.787645,116.5006461,2035.497637,2184.138392,1.84929752
18-Dec-14,tank11,HCO2,HL,HC-HL,33.5,24.97,7.687860732,982.1850666,1917.237006,97.48109735,2042.754121,2157.816605,1.561433362
18-Dec-14,tank12,HCO2,HL,HC-HL,33.5,24.63,7.69068789,977.4831007,1924.379601,97.26097285,2049.784071,2164.356116,1.555364367
18-Dec-14,tank13,ACO2,LL,AC-LL,34.6,24.93,8.014507123,407.7441338,1695.174358,187.3500408,1894.108564,2160.595076,2.980125229
18-Dec-14,tank14,ACO2,LL,AC-LL,34.8,24.54,8.063887503,356.2170054,1664.076146,204.0677211,1878.354013,2171.327987,3.236043359
18-Dec-14,tank15,ACO2,LL,AC-LL,34.4,24.25,8.019213216,404.5476576,1705.969034,185.0312179,1902.706246,2165.282752,2.93772465
18-Dec-14,tank16,HCO2,HL,HC-HL,34.6,23.96,7.826872198,679.5715,1844.622758,127.706603,1992.119524,2161.563853,2.022407011
18-Dec-14,tank17,HCO2,HL,HC-HL,34.6,23.92,7.813650531,704.3568754,1855.011457,124.3913409,1999.935868,2163.649311,1.96955359
18-Dec-14,tank18,HCO2,HL,HC-HL,34.7,25.25,7.881448688,588.4438768,1798.020427,148.3464948,1962.942044,2165.940655,2.361732124
18-Dec-14,tank19,ACO2,LL,AC-LL,34.8,25.18,7.998640335,427.1001031,1710.476773,184.7898405,1907.311971,2169.373178,2.939035667
18-Dec-14,tank20,ACO2,LL,AC-LL,34.7,25.73,8.052509829,366.4762476,1655.733592,206.1427038,1872.076028,2167.708553,3.289402799
18-Dec-14,tank21,ACO2,LL,AC-LL,34.6,24.3,7.903528538,553.3554818,1788.377197,149.575843,1953.92774,2159.760238,2.372366591
18-Dec-14,tank22,HCO2,LL,HC-LL,34.6,23.88,7.705408799,948.0102912,1946.381513,101.5755324,2075.621437,2197.4889,1.608012237
18-Dec-14,tank23,HCO2,LL,HC-LL,34.7,25.16,7.750479688,834.1005725,1886.10493,114.7219122,2024.374716,2170.249008,1.82564097
18-Dec-14,tank24,HCO2,LL,HC-LL,34.7,25.06,7.687112393,979.7053245,1915.703341,100.3340711,2043.765604,2164.266943,1.595928627
22-Dec-14,tank1,ACO2,LL,AC-LL,34.8,24.43,8.00058365,429.7616352,1736.452818,183.3171034,1932.122601,2191.008894,2.905531671
22-Dec-14,tank2,ACO2,LL,AC-LL,35,25.01,8.023896123,401.9870213,1708.976539,195.3620086,1915.712429,2193.608031,3.100637408
22-Dec-14,tank3,ACO2,LL,AC-LL,33.9,24.83,8.008682887,421.8911863,1727.729455,184.675471,1924.46525,2184.222739,2.949045189
22-Dec-14,tank4,HCO2,LL,HC-LL,34.5,24.2,7.834940101,674.308772,1861.442419,132.1473955,2013.116365,2188.425732,2.096307867
22-Dec-14,tank5,HCO2,LL,HC-LL,33.8,24.82,7.812577938,721.5572588,1880.688448,127.6334391,2028.964521,2195.261696,2.039287037
22-Dec-14,tank6,HCO2,LL,HC-LL,33.9,25.49,7.897859042,572.8164007,1810.459607,153.6067465,1980.171191,2189.428389,2.460735474
22-Dec-14,tank7,ACO2,HL,AC-HL,34.4,24.83,8.022213386,404.3817197,1711.234971,190.9180518,1913.682748,2184.169838,3.039321799
22-Dec-14,tank8,ACO2,HL,AC-HL,34,25.72,8.054291664,370.3470341,1676.422272,206.1164217,1892.886098,2186.028058,3.303606915
22-Dec-14,tank9,ACO2,HL,AC-HL,34.2,25.3,7.972187175,466.8878264,1754.819486,176.6891303,1944.677417,2191.515189,2.822631217
22-Dec-14,tank10,HCO2,HL,HC-HL,34,25.16,7.725138066,923.44054,1965.373996,110.9462962,2102.48532,2237.794598,1.773391945
22-Dec-14,tank11,HCO2,HL,HC-HL,33.9,25.36,7.679553043,1015.919671,1943.815989,99.28932149,2071.761215,2188.458039,1.589577532
22-Dec-14,tank12,HCO2,HL,HC-HL,34.8,25.11,7.725560319,896.6569402,1915.622113,110.0717247,2051.026455,2187.8821,1.750088354
22-Dec-14,tank13,ACO2,LL,AC-LL,34.7,25.6,8.141473735,284.6355978,1579.514798,240.2145264,1827.676969,2176.409606,3.830686326
22-Dec-14,tank14,ACO2,LL,AC-LL,34.6,24.86,8.025312676,402.642703,1716.839955,194.0253931,1922.324837,2197.283607,3.085300419
22-Dec-14,tank15,ACO2,LL,AC-LL,34.7,24.7,8.014979535,411.7306345,1716.436619,188.7444513,1916.940659,2184.531993,2.997177924
22-Dec-14,tank16,HCO2,HL,HC-HL,33.8,24.81,7.846493753,656.7808701,1851.00695,135.7725464,2005.573747,2185.993869,2.169227786
22-Dec-14,tank17,HCO2,HL,HC-HL,34,24.52,7.862603057,628.427916,1842.430908,139.4170642,1999.945021,2186.770106,2.221724445
22-Dec-14,tank18,HCO2,HL,HC-HL,34.6,25.19,7.836376641,671.2058112,1848.812778,136.8814943,2004.638952,2187.393418,2.179998559
22-Dec-14,tank19,ACO2,LL,AC-LL,34.7,25.13,7.955178565,486.7562826,1763.738718,171.6863671,1949.177314,2188.97496,2.731766164
22-Dec-14,tank20,ACO2,LL,AC-LL,34.3,25.19,8.072874661,350.7437621,1663.86082,210.8836903,1884.659645,2186.141093,3.365001833
22-Dec-14,tank21,ACO2,LL,AC-LL,34.3,25.07,7.955731504,487.7992149,1768.190461,170.3728503,1952.394567,2189.514472,2.717031739
22-Dec-14,tank22,HCO2,LL,HC-LL,33.5,24.55,7.72182539,921.4802525,1949.893654,105.5647391,2082.043582,2209.390762,1.687512581
22-Dec-14,tank23,HCO2,LL,HC-LL,34.3,24.81,7.804208103,737.0198904,1887.576822,127.0888617,2035.701157,2201.218632,2.024272773
22-Dec-14,tank24,HCO2,LL,HC-LL,33.5,25.28,7.71230334,937.4974719,1932.432778,105.1307466,2064.115609,2191.089211,1.686510257
26-Dec-14,tank1,ACO2,LL,AC-LL,34.2,24.915,8.02141159,411.7682656,1737.299118,193.1715076,1942.197944,2214.111126,3.080279416
26-Dec-14,tank2,ACO2,LL,AC-LL,34.8,25.245,8.072346048,354.3584267,1681.017052,215.7117254,1906.706327,2214.904315,3.431889527
26-Dec-14,tank3,ACO2,LL,AC-LL,34.8,24.799,8.135835546,295.0471118,1624.197833,237.3133872,1869.912681,2212.297898,3.767718746
26-Dec-14,tank4,HCO2,LL,HC-LL,33.8,25.818,7.770153168,825.7046815,1940.49846,123.8853691,2087.421362,2244.216511,1.989047914
26-Dec-14,tank5,HCO2,LL,HC-LL,34.6,25.224,7.712774035,939.8275721,1947.136794,108.5893078,2082.229911,2214.846044,1.729690488
26-Dec-14,tank6,HCO2,LL,HC-LL,34.4,25.808,7.665720973,1071.101675,1983.283566,100.9241974,2114.006888,2231.363709,1.614198463
26-Dec-14,tank7,ACO2,HL,AC-HL,34.5,24.913,8.078919065,348.7921422,1681.570688,214.9263892,1906.415814,2213.096899,3.420686417
26-Dec-14,tank8,ACO2,HL,AC-HL,34.5,25.763,8.060624654,367.4328855,1690.001545,213.6458687,1913.875949,2217.793446,3.414130753
26-Dec-14,tank9,ACO2,HL,AC-HL,34.7,25.47,7.899727376,569.6987555,1813.257369,157.2974257,1986.513719,2202.096017,2.506852168
26-Dec-14,tank10,HCO2,HL,HC-HL,34.8,25.543,7.818078402,711.3863928,1875.932083,135.5165646,2031.330042,2210.552453,2.159064572
26-Dec-14,tank11,HCO2,HL,HC-HL,34.6,25.112,7.828615943,695.2586325,1882.002295,136.479964,2038.144362,2218.653211,2.17280371
26-Dec-14,tank12,HCO2,HL,HC-HL,34.8,25.078,7.739349811,869.6363721,1918.19008,113.6415761,2056.42068,2199.033664,1.806576804
26-Dec-14,tank13,ACO2,LL,AC-LL,34.7,24.051,8.027869071,402.3125192,1734.316473,191.8188729,1937.817821,2209.224687,3.03703308
26-Dec-14,tank14,ACO2,LL,AC-LL,34.5,24.82,8.064591949,364.0255914,1698.985491,209.3890727,1918.750878,2216.594695,3.331108329
26-Dec-14,tank15,ACO2,LL,AC-LL,34.6,25.538,8.099901905,329.0609508,1659.44272,228.2847383,1896.934544,2223.669641,3.641735714
26-Dec-14,tank16,HCO2,HL,HC-HL,34.7,25.005,7.674047152,1034.625112,1963.765992,99.60202947,2092.6912,2209.514738,1.583876909
