CO2,Light,Treatment,Tank,Colony,Number,total blastate ml,surface area cm2,change in weight g,AFDW g/ml,cells/ml,ug chl a/ml,ug chl c2/ml,mg protein/ml,mg carb/ml,mg lipid/ml,g lipid/gdw
ACO2,HL,HL-AC,8,G,54,14,3.9664,0.067,0.0126,549167,0.8198,0.3342,0.341,0.1368,,
ACO2,HL,HL-AC,8,H,52,9.5,3.3633,0.0381,0.0095,256667,1.5747,0.5243,0.32,0.0985,,
ACO2,HL,HL-AC,8,K,29,10,5.1727,0.0145,0.0113,,0.3722,0.1446,0.147,0.0695,,
ACO2,HL,HL-AC,8,L,38,14.5,7.6207,0.0397,0.0137,,2.2203,0.4214,0.227,0.1423,0.7,0.1909
ACO2,HL,HL-AC,8,M,7,25.5,13.6167,0.0994,0.0147,531667,2.6107,0.6577,0.35,0.1302,1.3,0.2806
ACO2,HL,HL-AC,8,N,43,20,13.936,0.0086,0.0138,335000,3.7118,0.7705,0.385,0.1845,2.4667,0.4684
ACO2,HL,HL-AC,8,P,31,12.5,4.605,0.0917,0.0115,,1.3907,0.8193,0.338,0.0902,0.3667,0.1392
ACO2,HL,HL-AC,9,G,85,20,11.8427,0.0633,0.0095,553333,1.7301,0.4292,0.491,0.1236,,
ACO2,HL,HL-AC,9,H,28,31.5,9.1818,0.0503,0.0083,403333,1.2277,0.5162,0.279,0.0817,,
ACO2,HL,HL-AC,9,K,71,22,12.0911,0.0696,0.0095,,1.8131,0.6126,0.425,0.107,,
ACO2,HL,HL-AC,9,L,8,20,13.0845,0.0896,0.0095,,2.9217,0.7445,0.501,0.1822,2.6333,0.4969
ACO2,HL,HL-AC,9,M,73,22,8.7915,0.077,0.0086,461667,1.9024,1.0117,0.424,0.0993,2.1,0.4437
ACO2,HL,HL-AC,9,N,59,14,5.8468,0.0351,0.008,250833,0.8072,0.3083,0.196,0.0688,1.4333,0.3071
ACO2,HL,HL-AC,9,P,42,25,16.455,0.0596,0.0091,,1.7772,0.4519,0.44,0.1215,1.725,0.3988
HCO2,HL,HL-HC,10,G,9,9,5.1017,0.0557,0.0101,385000,1.8152,0.555,0.27,0.1135,,
HCO2,HL,HL-HC,10,H,10,11.5,7.3014,0.009,0.0093,290000,0.2959,0.1659,0.205,0.1038,,
HCO2,HL,HL-HC,10,K,52,10.5,6.6273,0.0363,0.009,,1.0502,0.3633,0.216,0.1075,,
